nom;prenom;jour;mois;annee;projet
Kernighan;Brian;1;1;1942;programmer avec style
Hopper;Grace;9;12;1906;code machine
Torvald;Linus;28;12;1969;systeme d'exploitation
Knuth;Donald;10;1;1938;tout sur les algorithmes
Turing;Alan;23;6;1912;codes secrets
Pascal;Blaise;19;6;1623;machine arithmetique
Hamilton;Margaret;17;8;1936;module lunaire
Perlis;Alan;1;4;1922;ce qu'un programmeur doit savoir
Jacquard;Joseph Marie;7;7;1752;programme des dessins
